Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,link
XL-1005UGC_C2856703,"CH1,CH2,CH3,CH4",LED0402-RD_GREEN,4,XL-1005UGC,XINGLIGHT,LCSC,C2856703,https://item.szlcsc.com/385873.html
TEST-POINT-PTH-1X1 BOARD,"GND,GND2,PWM1,PWM2,PWM3,PWM4,5V",PKG-TEST-POINT-PTH-1X1,7,NON POPULATED,NON POPULATED,,,
270,"R5,R6,R7,R8",R0201,4,AC0201JR-07270RL,YAGEO,LCSC,C144821,https://item.szlcsc.com/239136.html
47kΩ,"R9,R12,R1,R4",R0402,4,ERA2AEB473X,PANASONIC,LCSC,C543615,https://item.szlcsc.com/323315.html
24kΩ,"R10,R11,R2,R3",R0402,4,AR02BTD2402,Viking,LCSC,C319712,https://item.szlcsc.com/323315.html
SMTSO3054CTJ,"U2,U3,U5,U6",SMD_BD5.6-D4.1,4,SMTSO3054CTJ,Sinhoo,LCSC,C2916335,https://img.jlc.com/pdf/applyPasteComponent/2021-08-17/383886A/1117d75d549448acb3d5abecca3dc57c/SMD%E8%A1%A8%E8%B4%B4%E8%9E%BA%E6%AF%8D%E6%9F%B1-%E7%AE%80.pdf
Arduino_Nano_Every,U4,ARDUINO_NANO_SMD,1,Arduino Nano Every,Arduino,Digikey,,
BLM21PG300SN1D,"FB1,FB5,FB2,FB3,FB4",L0805,5,BLM21PG300SN1D,MuRata,LCSC,C16903,https://item.szlcsc.com/344132.html
100nF,"FTC3,FTC6,FTC1,FTC2,FTC4,FTC5",FILTER-SMD_4P-L3.2-W1.6-L_YFF31HC,6,YFF31HC2A104MT000N,TDK,LCSC,C132183,https://item.szlcsc.com/114451.html
10k,"P1,P2",RES-ADJ-SMD_3224W,2,3224W-1-103E,BOURNS,LCSC,C81348,https://list.szlcsc.com/catalog/520.html
1uF,"C1,C3,C4,C5,C6,C8,C9,C10",C0402,8,GRM155Z71A105KE01D,muRata,LCSC,C528974,https://item.szlcsc.com/15869.html
1.5u,"C2,C7",FILTER-SMD_4P-L4.5-W1.6-L_NFM41CC471R2A3L,2,NFM41PC155B1E3L,Murata Electronics,LCSC,C98106,https://atta.szlcsc.com/upload/public/pdf/source/20180612/C184103_F4F1C3407E104D74529E649E975483FF.pdf
DOSIN-801-0057 BNC,"OUT1,OUT2,OUT_LV1,OUT_LV2",ANT-TH_DOSIN-801-0057,4,DOSIN-801-0057,dosinconn,LCSC,C709675,https://item.szlcsc.com/747627.html
ADA4528-2ARMZ-R7,"U1,U7",MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,2,ADA4528-2ARMZ-R7,ADI,LCSC,C112136,https://item.szlcsc.com/118796.html
